,Original,Gaps,scipy-slinear,pandas-slinear,scipy-linear,"pandas-spline, order 1"
-10,0,0.0,0.0,0.0,0.0,0.0
-9,0,,0.0,0.0,0.0,-0.0013713662515431185
-8,0,0.0,0.0,0.0,0.0,0.0
-7,0,,0.0,0.0,0.0,-0.15510724860311675
-6,0,0.0,0.0,0.0,0.0,0.0
-5,0,,0.0,0.0,0.0,-0.3088431309546904
-4,0,0.0,0.0,0.0,0.0,0.0
-3,0,,1.0,1.0,1.0,1.6651012402828926
-2,2,2.0,2.0,2.0,2.0,2.0
-1,5,,6.0,6.0,6.0,5.766725865109633
0,10,10.0,10.0,10.0,10.0,10.0
1,5,,6.0,6.0,6.0,5.755348590574144
2,2,2.0,2.0,2.0,2.0,2.0
3,0,,1.0,1.0,1.0,1.630969416676427
4,0,0.0,0.0,0.0,0.0,0.0
5,0,,0.0,0.0,0.0,-0.2903251210549944
6,0,0.0,0.0,0.0,0.0,0.0
7,0,,0.0,0.0,0.0,-0.10387529744538732
8,0,0.0,0.0,0.0,0.0,0.0
9,0,,0.0,0.0,0.0,-0.012765748661047065
10,0,0.0,0.0,0.0,0.0,0.0
